Topic,Size,Top_Words,Representative_Text
0,1124,"matahari, malam, shalat, rakaat, tidur","… berkata; rasulullah shallallahu 'alaihi wasallam bersabda: ""tali pantat kedua mata, barangsiapa tidur, hendaklah berwudhu.""..."
1,511,"rambut, rambutnya, mencukur, bulu, kumis","berkata; rasulullah shallallahu 'alaihi wasallam bersabda: ""sepuluh perkara termasuk fithrah: memotong kumis, memelihara jenggot (membiarkannya tumbuh), bersiwak, beristinsyaq air, memotong kuku, memb..."
2,489,"mengangkat, kedua, mengangkat kedua, kedua tangannya, tangannya","berkata; ""tanganku tangan rasulullah shallallahu 'alaihi wasallam saling bergantian berwudhu satu bejana.""..."
3,450,"makanan, makan, daging, roti, memakannya","mengabarkan berkata, ""rasulullah shallallahu 'alaihi wasallam tidak pernah mencela makanan sama sekali, senang memakannya tidak menyukai meninggalkannya.""..."
4,396,"surat, membaca, surat al, qur, qur an","kepadaku mendengar berkata; mendengar berkata; rasulullah shallallahu 'alaihi wasallam bersabda: ""barangsiapa di antara kalian membaca; ""wat tiin waz zaitun (demi (buah) tin (buah) zaitun), "" akhir ay..."
5,362,"bakar, api, api neraka, neraka, membakar","berkata; rasulullah shallallahu 'alaihi wasallam bersabda: ""berwudhulah makan makanan masak (terpanggang) api.""..."
6,337,"air, bejana, mendapatkan air, berwudlu, wudlu","berkata; mendengar hadits , berkata; rasulullah shallallahu 'alaihi wasallam bersabda: ""janganlah salah seorang kalian kencing di air menggenang janganlah mandi janabah di tempat tersebut.""..."
7,330,"kain, pakaian, baju, sutera, mengenakan","berkata; rasulullah shallallahu 'alaihi wasallam shalat malam, sementara berada di samping beliau, padahal haidl, memakai selendangku, di mana sebagian kain beliau...."
8,262,"malaikat, para malaikat, langit, aamiin, para","nabi shallallahu 'alaihi wasallam, bersabda: ""malaikat tidak memasuki rumah ada gambar, anjing, orang junub.""..."
9,248,"raka, raka at, rakaat, at, dua raka","mengabarkan kepadaku mengabarkan kepadanya, rasulullah shallallahu 'alaihi wasallam bersabda: ""barangsiapa ragu-ragu shalatnya, hendaknya sujud dua kali setelah salam.""..."
10,227,"budak, membebaskan, budak tersebut, memerdekakan, seorang budak","mengabarkan , nabi shallallahu 'alaihi wasallam bersabda: ""barangsiapa membebaskan bagiannya diri seorang budak, berkewajiban membebaskan bagian tersisa uangnya mencukupi nilai harga budak tersebut.""..."
11,215,"warisan, saudara, saudara laki, perempuan, ibu","mengabarkan berkata: ""ilmu tidak disampaikan bagaikan gudang harta tidak pernah diinfakkan""...."
12,200,"minuman, minum, memabukkan, khamer, perasan","di antara lain. berkata; berkata, ""rasulullah shallallahu 'alaihi wasallam bersabda: ""setiap sesuatu memabukkan khamer, setiap memabukkan haram. barangsiapa meninggal keadaan minum khamer menyukainya ..."
13,190,"shalat, shalat berkata, tidak menerima, mendapatkan shalat, menerima shalat","berkata; rasulullah shallallahu 'alaihi wasallam bersabda: ""kunci shalat bersuci, mengharamkannya (dari segala ucapan gerakan di laur shalat) takbir, menghalalkannya kembali salam.""..."
14,189,"berperang, perang, pasukan, rampasan, romawi",", bacakan , berdua mengatakan; , nabi shallallahu 'alaihi wasallam bersabda: ""barangsiapa tidak berperang mempersiapkan orang berperang menggantikan orang berperang memberikan kebaikan keluarganya all..."
15,181,"membasuh, tiga kali, membasuh kedua, air, air ke","berkata, kepadaku berkata, ""rasulullah shallallahu 'alaihi wasallam mendatangi keadaan berdebu, menaruh untuknya bejana berwudlu, pun berwudlu. mencuci kedua telapaknya tangannya tiga kali, berkumur-k..."
16,180,"pasukan, perang, khubaib, peperangan, amir",", , kepadaku , yaitu ibnu ma'dan , berkata; rasulullah shallallahu 'alaihi wasallam bersabda: ""keadaannya kalian menjadi tentara-tentara terpisah-pisah, pasukan di syam, pasukan di yaman, pasukan di i..."
17,165,"bulan, berpuasa, puasa, satu bulan, sya ban",", , , nabi shallallahu 'alaihi wasallam tidak pernah berpuasa sunah satu bulan penuh kecuali bulan sya'ban, menyambungnya ramadhan...."
18,162,"menangis, jenazah, meninggal, kuburan, tangisan",mengabarkan berkata; melihat rasulullah shallallahu 'alaihi wasallam mencium utsman mazh'un sementara meninggal melihat air mata mengalir....
19,157,"syahid, meninggal, mati, mati syahid, dunia",", , , berkata; rasulullah shallallahu wa'alaihi wa sallam bersabda: ""barang siapa memohon allah agar meninggal keadaan syahid jujur, allah menyampaikannya derajat para syuhada walaupun mati diatas tem..."
20,155,"wasallam melarang, melarang, al muzaffat, muzaffat, ad duba",", , , , , berkata; rasulullah shallallahu 'alaihi wasallam melarang sikap berbangga orang-orang badui...."
